id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1hn9FXzDObHWssesbc7CqL,0.476,0.265,10,-15.493,0,0.0405,0.787,0.00355,0.0966,0.32,103.599,356148,3
0PNtB5N0hHE7knEiMCZece,0.344,0.873,7,-7.455,1,0.0506,0.172,0.65,0.393,0.303,82.829,199000,3
2KRrjL1hcxOMTzPUb2EiUi,0.579,0.394,10,-13.768,0,0.0341,0.418,0.293,0.91,0.393,124.143,223790,3
6tuINsC3TNHBmn6oVu2RPw,0.539,0.269,5,-16.742,0,0.0382,0.839,0.669,0.0895,0.704,134.449,297347,4
5bx3SJVzjVamiOfUcaudnJ,0.392,0.209,7,-19.479,0,0.0453,0.445,0.39,0.111,0.543,92.444,284747,3
3bRqljHPbtPEDaM2bL1JML,0.504,0.676,1,-10.891,1,0.05,0.0272,0.538,0.147,0.502,89.628,312093,4
5n2ungarkfmrpDS5VhKja6,0.276,0.525,2,-14.073,0,0.0449,0.305,0.85,0.108,0.385,168.833,248562,4
63mAHNs3C1JNqwQ7m1UcF6,0.472,0.408,0,-12.212,0,0.0376,0.695,0.676,0.046,0.615,134.843,515000,4
0PqUYXd6MC7kFWRIluPSA7,0.587,0.792,1,-10.341,0,0.0398,0.51,0.843,0.1,0.873,147.949,324707,4
1N6LYfKGtUSa1oGLXQfNoq,0.334,0.557,10,-10.086,0,0.0682,0.163,0.84,0.0709,0.196,170.764,396613,4
4miACj3Pi7Pox3ylFNFZ9s,0.368,0.297,0,-12.584,1,0.0342,0.971,0.421,0.112,0.304,172.846,195778,4
